No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,d-spacing,TOF_alpha,TOF_Beta
77,2,2,1,5,8,0.1012,66.2141,2.2969,0.2983,0,0
78,2,0,4,2,4,0.1012,66.3149,2.2897,0.2991,0,0
79,1,2,2,4,8,0.1019,67.5858,2.2022,0.3094,0,0
80,2,2,2,4,8,0.102,67.7736,2.1898,0.3109,0,0
81,1,1,4,1,8,0.1031,69.6846,2.0712,0.3264,0,0
82,2,1,4,1,8,0.1032,69.8799,2.0598,0.328,0,0
83,1,2,0,6,4,0.1032,69.916,2.0577,0.3283,0,0
84,1,1,2,7,8,0.1033,70.1113,2.0465,0.3299,0,0
85,2,2,0,6,4,0.1033,70.1121,2.0464,0.3299,0,0
86,1,2,3,1,8,0.1034,70.1383,2.0449,0.3301,0,0
87,2,1,2,7,8,0.1035,70.3081,2.0353,0.3315,0,0
88,2,2,3,1,8,0.1035,70.3353,2.0337,0.3317,0,0
89,1,1,1,8,8,0.1045,71.8342,1.9528,0.3441,0,0
90,2,1,1,8,8,0.1047,72.0374,1.9424,0.3458,0,0
91,1,0,4,4,4,0.1052,72.6675,1.9109,0.351,0,0
92,2,0,4,4,4,0.1053,72.8739,1.9008,0.3528,0,0
93,1,0,2,8,4,0.1055,73.0868,1.8906,0.3545,0,0
94,2,0,2,8,4,0.1056,73.2948,1.8807,0.3563,0,0
95,1,1,3,6,8,0.106,73.6884,1.8623,0.3596,0,0
96,2,1,3,6,8,0.1061,73.8987,1.8527,0.3613,0,0
97,1,1,4,3,8,0.1062,73.9756,1.8492,0.362,0,0
98,2,1,4,3,8,0.1064,74.1869,1.8397,0.3638,0,0
99,1,2,3,3,8,0.1066,74.4184,1.8294,0.3657,0,0
100,2,2,3,3,8,0.1068,74.6315,1.8201,0.3675,0,0
101,1,0,3,7,4,0.1076,75.5596,1.7809,0.3753,0,0
102,2,0,3,7,4,0.1078,75.7771,1.7721,0.3772,0,0
103,1,0,1,9,4,0.1079,75.8352,1.7697,0.3776,0,0
104,2,0,1,9,4,0.1081,76.0538,1.761,0.3795,0,0
105,1,3,0,1,4,0.1085,76.4641,1.7449,0.383,0,0
106,2,3,0,1,4,0.1087,76.6852,1.7364,0.3848,0,0
107,1,3,1,0,4,0.11,77.9972,1.6885,0.396,0,0
108,2,3,1,0,4,0.1103,78.2245,1.6806,0.398,0,0
109,1,2,2,6,8,0.1103,78.2614,1.6794,0.3983,0,0
110,2,2,2,6,8,0.1105,78.4897,1.6716,0.4002,0,0
111,1,1,0,9,4,0.1108,78.7213,1.6638,0.4022,0,0
112,1,2,1,7,8,0.111,78.8834,1.6584,0.4036,0,0
113,2,1,0,9,4,0.111,78.9515,1.6562,0.4042,0,0
114,2,2,1,7,8,0.1112,79.1143,1.6509,0.4056,0,0
115,1,3,1,2,8,0.1123,80.0733,1.6208,0.4138,0,0
116,2,3,1,2,8,0.1126,80.3091,1.6138,0.4158,0,0
117,1,3,0,3,4,0.113,80.624,1.6045,0.4185,0,0
118,2,3,0,3,4,0.1133,80.8621,1.5976,0.4206,0,0
119,1,1,4,5,8,0.1151,82.3127,1.5582,0.4331,0,0
120,2,1,4,5,8,0.1154,82.5581,1.552,0.4352,0,0
121,1,2,3,5,8,0.1157,82.7426,1.5474,0.4368,0,0
122,2,2,3,5,8,0.116,82.9898,1.5413,0.439,0,0
123,1,0,4,6,4,0.1162,83.1042,1.5385,0.44,0,0
124,1,0,5,1,4,0.1164,83.3147,1.5335,0.4418,0,0
125,2,0,4,6,4,0.1165,83.353,1.5326,0.4421,0,0
126,2,0,5,1,4,0.1168,83.5644,1.5276,0.444,0,0
127,1,0,0,10,2,0.1169,83.6421,1.5258,0.4446,0,0
128,2,0,0,10,2,0.1172,83.8932,1.5201,0.4468,0,0
129,1,2,4,0,4,0.1175,84.046,1.5166,0.4481,0,0
130,2,2,4,0,4,0.1178,84.299,1.511,0.4503,0,0
131,1,2,0,8,4,0.1182,84.5829,1.5049,0.4528,0,0
132,1,3,2,1,8,0.1182,84.6003,1.5045,0.4529,0,0
133,2,2,0,8,4,0.1186,84.8383,1.4995,0.455,0,0
134,2,3,2,1,8,0.1186,84.8557,1.4991,0.4552,0,0
135,1,2,4,2,8,0.1205,86.0917,1.4746,0.4659,0,0
136,1,3,1,4,8,0.1207,86.2343,1.472,0.4672,0,0
137,2,2,4,2,8,0.1209,86.3539,1.4698,0.4682,0,0
138,2,3,1,4,8,0.1211,86.4971,1.4672,0.4695,0,0
139,1,1,2,9,8,0.1216,86.8109,1.4616,0.4722,0,0
140,2,1,2,9,8,0.122,87.0764,1.4571,0.4745,0,0
141,1,0,5,3,4,0.1226,87.405,1.4515,0.4774,0,0
142,1,1,5,0,4,0.1229,87.6392,1.4477,0.4794,0,0
143,2,0,5,3,4,0.123,87.6733,1.4472,0.4797,0,0
144,2,1,5,0,4,0.1234,87.9086,1.4435,0.4818,0,0
145,1,1,3,8,8,0.1238,88.1738,1.4394,0.4841,0,0
146,2,1,3,8,8,0.1243,88.4458,1.4353,0.4864,0,0
147,1,3,2,3,8,0.1247,88.6842,1.4318,0.4885,0,0
148,1,3,0,5,4,0.1249,88.8178,1.4299,0.4897,0,0
149,2,3,2,3,8,0.1252,88.9586,1.4279,0.4909,0,0
150,2,3,0,5,4,0.1254,89.0928,1.426,0.4921,0,0
151,1,1,5,2,8,0.1264,89.6779,1.4183,0.4972,0,0
152,2,1,5,2,8,0.1269,89.9571,1.4147,0.4996,0,0
153,1,1,1,10,8,0.1279,90.4793,1.4085,0.5042,0,0
154,2,1,1,10,8,0.1284,90.7624,1.4052,0.5067,0,0
155,1,0,2,10,4,0.1301,91.6739,1.3957,0.5146,0,0
156,2,0,2,10,4,0.1307,91.963,1.3929,0.5171,0,0
157,1,0,3,9,4,0.1308,92.0166,1.3924,0.5176,0,0
158,1,2,4,4,8,0.1312,92.2094,1.3906,0.5193,0,0
159,2,0,3,9,4,0.1314,92.3075,1.3897,0.5201,0,0
160,2,2,4,4,8,0.1317,92.5013,1.3881,0.5218,0,0
161,1,2,2,8,8,0.132,92.6105,1.3871,0.5228,0,0
162,2,2,2,8,8,0.1325,92.9044,1.3847,0.5253,0,0
163,1,3,3,0,4,0.1351,94.1255,1.3759,0.536,0,0
164,2,3,3,0,4,0.1357,94.4274,1.3741,0.5386,0,0
165,1,1,4,7,8,0.136,94.5688,1.3733,0.5398,0,0
166,2,1,4,7,8,0.1367,94.873,1.3716,0.5425,0,0
167,1,2,3,7,8,0.1369,94.9965,1.371,0.5435,0,0
168,1,2,1,9,8,0.1375,95.2647,1.3696,0.5459,0,0
169,2,2,3,7,8,0.1376,95.3029,1.3694,0.5462,0,0
170,1,0,5,5,4,0.1382,95.5668,1.3683,0.5485,0,0
171,2,2,1,9,8,0.1382,95.5726,1.3682,0.5486,0,0
172,1,1,5,4,8,0.1387,95.8019,1.3673,0.5505,0,0
173,2,0,5,5,4,0.1389,95.8763,1.367,0.5512,0,0
174,2,1,5,4,8,0.1394,96.1127,1.3661,0.5532,0,0
175,1,3,3,2,8,0.1395,96.1719,1.3659,0.5538,0,0
176,1,0,1,11,4,0.14,96.3726,1.3652,0.5555,0,0
177,1,3,1,6,8,0.1402,96.4407,1.365,0.5561,0,0
178,2,3,3,2,8,0.1403,96.4848,1.3648,0.5565,0,0
179,2,0,1,11,4,0.1407,96.6865,1.3642,0.5582,0,0
180,2,3,1,6,8,0.1409,96.755,1.364,0.5588,0,0
181,1,3,2,5,8,0.1411,96.8528,1.3638,0.5597,0,0
182,2,3,2,5,8,0.1418,97.1694,1.363,0.5624,0,0
183,1,0,4,8,4,0.1424,97.4077,1.3625,0.5645,0,0
184,2,0,4,8,4,0.1432,97.7275,1.362,0.5672,0,0
185,1,1,0,11,4,0.1468,99.214,1.3612,0.5801,0,0
186,2,1,0,11,4,0.1477,99.5441,1.3614,0.5829,0,0
187,1,3,0,7,4,0.1518,101.1157,1.3643,0.5964,0,0
188,2,3,0,7,4,0.1527,101.4572,1.3653,0.5993,0,0
189,1,3,3,4,8,0.1552,102.37,1.3688,0.6071,0,0
190,1,2,4,6,8,0.1556,102.4979,1.3694,0.6082,0,0
191,1,2,5,1,8,0.1562,102.7121,1.3703,0.61,0,0
192,2,3,3,4,8,0.1562,102.7192,1.3704,0.6101,0,0
193,2,2,4,6,8,0.1566,102.848,1.371,0.6112,0,0
194,1,2,0,10,4,0.1572,103.0457,1.372,0.6129,0,0
